Wavelength	Intensity
1.8872401173890789	615
1.8867332841046616	613
1.8862267243212016	616
1.8857204378184822	626
1.8852144243765225	637
1.8847086837755771	621
1.8842032157961384	620
1.8836980202189324	624
1.88319309682492	628
1.8826884453952979	622
1.8821840657114974	615
1.8816799575551824	638
1.8811761207082522	626
1.8806725549528391	613
1.8801692600713082	623
1.8796662358462581	610
1.8791634820605203	630
1.8786609984971572	621
1.8781587849394639	625
1.8776568411709682	628
1.8771551669754272	621
1.8766537621368313	620
1.8761526264394008	618
1.8756517596675841	618
1.8751511616060628	610
1.8746508320397473	611
1.8741507707537779	623
1.8736509775335224	622
1.8731514521645796	609
1.8726521944327752	613
1.8721532041241655	605
1.8716544810250315	638
1.8711560249218844	619
1.8706578356014627	638
1.8701599128507294	604
1.8696622564568777	613
1.8691648662073248	612
1.8686677418897155	620
1.8681708832919195	624
1.867674290202032	609
1.8671779624083749	618
1.8666818996994934	621
1.8661861018641581	620
1.8656905686913647	609
1.8651952999703303	630
1.8647002954904996	624
1.8642055550415377	628
1.8637110784133339	612
1.8632168653960015	623
1.8627229157798741	623
1.8622292293555094	625
1.8617358059136864	627
1.8612426452454058	627
1.8607497471418903	616
1.8602571113945827	609
1.8597647377951476	622
1.8592726261354693	618
1.8587807762076525	622
1.858289187804022	628
1.8577978607171235	623
1.8573067947397197	627
1.856815989664794	625
1.8563254452855482	620
1.8558351613954025	618
1.855345137787995	618
1.8548553742571827	628
1.8543658705970389	607
1.8538766266018556	611
1.8533876420661406	612
1.8528989167846195	608
1.8524104505522341	619
1.8519222431641416	603
1.8514342944157161	615
1.8509466041025475	600
1.8504591720204395	613
1.849971997965413	613
1.8494850817337021	623
1.8489984231217558	603
1.8485120219262379	612
1.8480258779440244	620
1.8475399909722079	607
1.8470543608080918	623
1.8465689872491928	601
1.8460838700932432	613
1.8455990091381833	612
1.8451144041821699	613
1.8446300550235688	620
1.8441459614609585	629
1.8436621232931307	624
1.8431785403190843	621
1.8426952123380327	619
1.8422121391493989	621
1.8417293205528154	614
1.8412467563481243	636
1.8407644463353798	627
1.8402823903148435	607
1.8398005880869865	603
1.8393190394524903	617
1.8388377442122428	612
1.8383567021673426	614
1.8378759131190938	612
1.8373953768690112	614
1.8369150932188152	618
1.8364350619704342	600
1.8359552829260033	625
1.8354757558878645	618
1.8349964806585677	606
1.8345174570408662	620
1.8340386848377208	604
1.8335601638522994	616
1.8330818938879718	614
1.8326038747483164	613
1.8321261062371152	599
1.8316485881583546	610
1.8311713203162252	604
1.8306943025151219	610
1.8302175345596436	608
1.8297410162545924	613
1.8292647474049746	620
1.828788727815998	612
1.8283129572930747	609
1.8278374356418181	604
1.8273621626680443	621
1.8268871381777716	618
1.82641236197722	610
1.8259378338728092	605
1.8254635536711643	602
1.8249895211791061	603
1.8245157362036608	600
1.8240421985520507	606
1.8235689080317015	605
1.8230958644502375	611
1.8226230676154827	611
1.8221505173354602	609
1.8216782134183924	600
1.8212061556727011	618
1.8207343439070056	609
1.820262777930125	615
1.8197914575510752	594
1.8193203825790691	611
1.8188495528235209	610
1.8183789680940379	612
1.817908628200426	599
1.817438532952689	594
1.8169686821610254	599
1.8164990756358315	621
1.8160297131876983	611
1.8155605946274143	604
1.8150917197659615	614
1.8146230884145191	611
1.8141547003844591	633
1.8136865554873505	611
1.8132186535349557	607
1.8127509943392317	596
1.8122835777123294	617
1.8118164034665927	614
1.8113494714145606	602
1.8108827813689641	593
1.8104163331427279	616
1.8099501265489681	594
1.8094841614009958	607
1.8090184375123126	607
1.8085529546966128	612
1.8080877127677808	616
1.8076227115398957	599
1.8071579508272249	591
1.8066934304442286	610
1.8062291502055576	614
1.8057651099260519	602
1.8053013094207433	605
1.8048377485048537	621
1.8043744269937936	612
1.8039113447031636	605
1.8034485014487536	598
1.8029858970465444	601
1.8025235313127017	611
1.8020614040635843	610
1.8015995151157362	615
1.8011378642858891	607
1.8006764513909668	597
1.8002152762480754	609
1.7997543386745121	605
1.7992936384877591	605
1.7988331755054883	589
1.7983729495455545	616
1.7979129604260022	608
1.7974532079650603	612
1.7969936919811438	609
1.7965344122928539	612
1.7960753687189777	610
1.795616561078486	604
1.7951579891905374	603
1.7946996528744712	597
1.7942415519498145	601
1.793783686236279	597
1.7933260555537576	592
1.7928686597223289	602
1.7924114985622548	605
1.7919545718939811	617
1.7914978795381362	603
1.7910414213155312	622
1.7905851970471598	600
1.7901292065541992	618
1.7896734496580076	609
1.7892179261801251	601
1.7887626359422748	603
1.7883075787663607	613
1.7878527544744669	611
1.7873981628888602	615
1.7869438038319883	606
1.7864896771264771	594
1.7860357825951363	612
1.7855821200609527	612
1.7851286893470943	615
1.7846754902769093	625
1.7842225226739248	602
1.7837697863618467	607
1.7833172811645603	608
1.7828650069061291	605
1.7824129634107966	612
1.7819611505029833	587
1.7815095680072874	597
1.7810582157484871	610
1.7806070935515352	607
1.7801562012415648	601
1.7797055386438845	621
1.77925510558398	605
1.7788049018875136	584
1.7783549273803254	605
1.7779051818884306	605
1.7774556652380202	586
